archive_run,row,x1,x2,x3,x4,x5,x6,x7,archived_inverse_inertia,recomputed_inverse_inertia,archived_section_area_m2,recomputed_section_area_m2,archived_effective_Ez_Pa,recomputed_effective_Ez_Pa,radius_1_mm,radius_2_mm,physically_feasible_Rmin_0p9,inverse_inertia_relative_error,section_area_relative_error,Ez_relative_error
EPSO_0,0,2.714448673512629,0.1,10.0,2.230125126216315,9.940628541665314,0.0,0.0,246.1803687211214,246.17466778948665,1.0005412262706896e-05,9.998032181981313e-06,27227532.445526488,27505737.98657462,0.8603904489910958,0.9822124503126776,False,2.3157539589223226e-05,0.0007376088592662257,0.010217802204615179
EPSO_0,1,0.1,4.371710887432835,3.4864169830423264,9.296897255687625,2.3653064131272554,0.6311178267325869,0.8211467323311656,261.4084348362285,261.3852878571809,9.57493111088894e-06,9.554427704779881e-06,2771662.5538629266,2775206.4651298127,0.05294223746790224,0.07341400322385322,False,8.854717737806982e-05,0.0021413633029424587,0.0012786229196432794
EPSO_0,2,0.6924130089884164,3.657662149787858,3.069293233792669,8.04581583278659,3.147003637385602,0.423664283324289,0.6363335563707524,260.3376914923287,260.30887286642957,9.591579418017431e-06,9.572228049021843e-06,3192886.9690541006,3196982.399825724,0.07119926231328388,0.16835067382708715,False,0.00011069709397028944,0.0020175372743343233,0.0012826732707160481
EPSO_0,3,0.1,4.848222532089218,2.726639607732307,10.0,1.5542049795821775,0.683653761301971,0.9217754763483558,263.2274579512663,263.2193363548772,9.550359217264827e-06,9.52933735059695e-06,2617958.555126376,2620905.3708644174,0.01824935220810961,0.022010153054259095,False,3.085391034913837e-05,0.002201159787777842,0.001125615885809609
EPSO_0,4,2.517326704730126,0.7780477606643208,8.770756091160333,2.9331576233312475,8.603056784315818,0.08622536996581304,0.12254046842597044,247.61850831538135,247.610448854151,9.94390532395791e-06,9.935046794454198e-06,11443537.533317575,11471710.265389044,0.9269845509269689,1.079693832830573,True,3.2547895087392794e-05,0.0008908501454020074,0.0024618901270209844
EPSO_0,5,0.1,6.854137833754922,0.297749690460158,10.0,0.1,1.0,1.0,265.8152683231871,265.8243787735402,9.535925600965712e-06,9.527624562202634e-06,2569747.0856356164,2572520.656546653,0.0035772794615060647,0.0035772794615060647,False,3.427361569770569e-05,0.000870501628309378,0.0010793166870545579
EPSO_0,6,0.8661977307005091,3.520324950196285,2.679524241169389,9.43805716583623,2.2929900975673663,0.365170033510928,0.658109217860567,262.3587227957844,262.32301428114675,9.561066752940512e-06,9.538209229358905e-06,2976361.039048449,2981482.9681280283,0.029120553925535503,0.05115433746529267,False,0.0001361056886430583,0.002390687584581216,0.0017208695492186273
EPSO_0,7,0.1,8.04928961461525,7.139417576673264,7.453971010204506,6.446641817444822,1.0,0.9958852722889168,256.05149241439113,256.0509459796671,9.671671966140106e-06,9.658806961377612e-06,3214189.2025222974,3216155.535524229,0.6044469522621989,0.6028533467671272,False,2.1340813867649686e-06,0.001330173811470606,0.0006117664138715315
EPSO_0,8,1.867075091768946,0.5557415520227063,8.942104555715973,2.779519216886661,8.964880597811188,0.047855722657428774,0.09566364131879704,247.3098738423585,247.3006305241876,9.95621905860255e-06,9.94884189971492e-06,13202155.606024295,13252109.526525851,0.9332857922655947,1.0483681445979283,True,3.7375451401543146e-05,0.0007409598808753348,0.003783770013948457
EPSO_0,9,1.8232846864170413,0.8267685731684643,7.716366887218745,3.0611426125623478,8.321999980383842,0.0,0.10844011479503693,248.1472618735044,248.13628836113875,9.925316014416972e-06,9.917522924971498e-06,10383700.262026977,10407615.563646648,0.9490238152414008,1.1317501573440332,True,4.422177493633469e-05,0.0007851729289177561,0.0023031579317759347
