population,inertia,hypervolume_mean,hypervolume_sd,feasible_mean,feasible_sd,pareto_mean,pareto_sd,time_mean_s,time_sd_s
20,0.4,4.055897325837016,0.03093181458439656,1.0,0.0,20.0,0.0,3.142025507200742,1.1410919243071485
20,0.7,4.0216146630606975,0.06819743539932,1.0,0.0,20.0,0.0,2.299988759400003,0.42193443369243516
20,0.9,4.013363247494148,0.1250626048765228,1.0,0.0,17.4,5.813776741499454,2.11461075240004,0.026395972957022562
40,0.4,4.067801628266525,0.004620170353477914,1.0,0.0,36.8,6.610597552415364,2.894521485199948,0.19702777427496687
40,0.7,4.065639087714944,0.008396878606291977,1.0,0.0,36.2,7.949842765740716,3.046009434798907,0.046446507440005155
40,0.9,4.0381202536198115,0.0717432007173997,1.0,0.0,35.8,4.919349550499537,2.929382501199143,0.30170723377439
80,0.4,4.062249693592918,0.011499370478919031,1.0,0.0,41.8,10.894952959971878,6.334828303800168,3.4510016947335105
80,0.7,4.07025078008404,0.004491281799957072,1.0,0.0,35.6,4.669047011971501,5.417801835200225,0.46343950900778325
80,0.9,4.071262395885452,0.003486973871305546,1.0,0.0,52.2,26.05187133393684,5.224137459600752,0.5997132077189831
