xline_all_values,yline_all_values,X_all_values,obj1,obj2,obj3,inc
0.04063898732488434,0.010986015779694585,"[0.5253771369535061, 0.6272046491951188, 0.6655503926481376, 0.6260975036159779, 0.36640498312462466, 0.838410745288819, 0.49110246836500715, 0.5131495936056011, 0.4984867261769246, 0.12093688373384093, 0.9907299581923001, 0.3737802822503383, 0.4574494969970845, 0.6207384625798411, 0.06941393166289156, 0.3087760993762598, 0.5099809732344355, 0.6779671469954139, 0.14488748939399, 0.33101809058632714, 0.3454338744084138, 0.6744147355633627, 0.09423346400549559, 0.5429781886476251, 0.6344786134308393, 0.06855253604875033, 0.9751611770431066, 0.3611747842818658, 0.737971229203786, 0.7042805378648486, 0.013847069675754664, 0.4855093935719368, 0.08626298031018031, 0.29570945092695144, 0.43993865820499456, 0.4379975655890779, 0.023382833440639406, 0.764714130575379, 0.8524371550873407, 0.9826427248038493, 0.24470660520109155, 0.4083967467884714, 0.6996559180172186, 0.14379826929730055, 0.8997100307741928, 0.3230095467162476]",0.1519629728237654,0.04063898732488434,0.010986015779694585,0
0.03534979758136001,0.011795692296646705,"[0.6599663694715665, 0.7346021119184315, 0.42952396854265407, 0.458868961894875, 0.5303407450494543, 0.8231816127289648, 0.3945158065781099, 0.9578352193791502, 0.8803310104005958, 0.894049013357372, 0.28976388645183815, 0.32059002307345674, 0.46813588207265755, 0.2127331712059941, 0.17701450350238745, 0.83755740845499, 0.3174043078768489, 0.06423759786579608, 0.3932089055892344, 0.8012466602713688, 0.4324091879857884, 0.6138232663521375, 0.04885473600903356, 0.21955661152406836, 0.5932552698758586, 0.07922035024305274, 0.03206825389712531, 0.25680120285743213, 0.9357891105501541, 0.21831868662860276, 0.8714209641732593, 0.6642180098044124, 0.8851900929832548, 0.3451049991953724, 0.9744797632135123, 0.8341608428746662, 0.7758333163164749, 0.1629348261974768, 0.5797914792663381, 0.3144931156835452, 0.2588393678881151, 0.37534996554679645, 0.5000978058418541, 0.12923389279699993, 0.5466877987071711, 0.837626007837173]",0.18923969348341102,0.03534979758136001,0.011795692296646705,0
0.04307673845010665,0.010742722120485819,"[0.5173295066165483, 0.2985113725036622, 0.7542976474094607, 0.983829336168758, 0.9548222649178599, 0.6624287622162381, 0.3672151468256831, 0.30833015334513325, 0.24278096088282497, 0.7240587398275262, 0.18294988535629286, 0.13125542386677558, 0.31507143394505566, 0.2820264477970025, 0.8634019006921756, 0.3354325147264092, 0.6970065186014698, 0.7019446762007194, 0.008984992916855616, 0.6652602089360693, 0.12133348027109547, 0.12654436449244988, 0.5123129389862725, 0.1361339799454332, 0.23707248304825024, 0.12491133690620815, 0.048668140656499936, 0.3546275734485075, 0.6868667128668836, 0.7210887611176593, 0.5796595897958241, 0.9023503262206336, 0.9323962181353118, 0.8585379932638911, 0.40954204453894527, 0.8117785939470135, 0.7902436652095859, 0.9676559879104618, 0.4999700967779658, 0.07046224657989286, 0.9885534007315151, 0.32434789870774416, 0.06447561840378557, 0.29843612411391174, 0.4981036233167836, 0.5085465764931085]",0.14958614541336104,0.04307673845010665,0.010742722120485819,0
0.033816788086814945,0.012419349689058756,"[0.06514867318277906, 0.35496701533929065, 0.08080196014041252, 0.7604785582266433, 0.3241754146508051, 0.5803992994360141, 0.7659969955268958, 0.3246159997424378, 0.6607807914635835, 0.10611210144292749, 0.25988110048386837, 0.48297047886094235, 0.8511589363652827, 0.8017819139334297, 0.5705363660018681, 0.2851920285239039, 0.7696748237641516, 0.12745723166951106, 0.3427300310193684, 0.14456491973439567, 0.3342278242691179, 0.5369750485508068, 0.9555149930147029, 0.9007447028198327, 0.15745716115145225, 0.7697502850448615, 0.7271949709543896, 0.405418264176841, 0.8511037449184803, 0.9087092183088168, 0.7298160933451076, 0.03788977896241774, 0.2823346253047113, 0.05107653196749029, 0.5199385814138069, 0.04387605625808111, 0.8403045686969929, 0.5653979308365551, 0.21974536174452364, 0.6047510954671796, 0.15635495323078819, 0.22099863675050824, 0.18001531695010498, 0.0726559101708869, 0.6227458012079077, 0.7381970980451129]",0.19776197279968386,0.033816788086814945,0.012419349689058756,0
0.0367094164967878,0.011229966332203746,"[0.667698497988629, 0.7878112796296802, 0.2485910452356075, 0.16874759139464568, 0.9518299561117293, 0.31649847318535695, 0.9485404049300878, 0.5999547998285338, 0.6009956798435068, 0.40832842959321536, 0.836079449465821, 0.2493088030087739, 0.8962832875836888, 0.20988771205321377, 0.669030163178526, 0.5606879567363368, 0.744120592343204, 0.27820295247555016, 0.5555825180241429, 0.22934102294885716, 0.08049250349804782, 0.8285444825159618, 0.6393680899592222, 0.7879695496256631, 0.2495453057516499, 0.3137312534760114, 0.3520059658417244, 0.6600600327347979, 0.8956271804216174, 0.4544629994227072, 0.8962215259174274, 0.3706261292612639, 0.10403702046372865, 0.5804768215529655, 0.6095626613299345, 0.8400910408022901, 0.6109528560532774, 0.6407103497944941, 0.5222676393643461, 0.7534511869892471, 0.7085973852780003, 0.9065950996852918, 0.48216187815485867, 0.5902962090258519, 0.9041107791174843, 0.5125287973252407]",0.165518789186887,0.0367094164967878,0.011229966332203746,0
0.039863533187859714,0.011078425731385198,"[0.27801683122817766, 0.6667895184334108, 0.45022074842826876, 0.6619376227357437, 0.1829612174120281, 0.4724710238363119, 0.6864715518963956, 0.6595697262722316, 0.05129539766420155, 0.37507541513467346, 0.3365893692475327, 0.7277540875766527, 0.38973157292188987, 0.897756957955235, 0.1602439716054792, 0.7339524097511588, 0.42739796187028745, 0.29409093295712085, 0.9930372284091065, 0.4078680282210959, 0.5075867525375181, 0.878881685214825, 0.26957548643886164, 0.24489283908423332, 0.011469053757977354, 0.9673236218351449, 0.8945348717062566, 0.9978716963109928, 0.9939413954916911, 0.3147934534653746, 0.9296978535051056, 0.5116659313334816, 0.8105943862283177, 0.8476902388711735, 0.24489437588433338, 0.09347932716613183, 0.9523728742166776, 0.8276694170376102, 0.0947085316785159, 0.2580806582416172, 0.6344834995032431, 0.40264085119351933, 0.8452497606947997, 0.28985724895580434, 0.05622853266962069, 0.1812636145517108]",0.15950881132566916,0.039863533187859714,0.011078425731385198,0
0.037075282660485896,0.011192276068528857,"[0.8346323615171853, 0.5057621692602315, 0.9174332288694796, 0.07006867178807563, 0.4250452716910067, 0.49040961389992377, 0.15704538660090162, 0.9910430990616803, 0.6608825795898612, 0.8017608524075717, 0.9365680613710592, 0.693202067922595, 0.15812498204267056, 0.4876302099111447, 0.6533715759483681, 0.5258417586244589, 0.8690862292794953, 0.7962270684825052, 0.9148057644421465, 0.66432741221894, 0.3798101885547056, 0.8582750790842832, 0.818874057482869, 0.8950730189274511, 0.4945172322103334, 0.3628803095668802, 0.29793820190667764, 0.30555265765958184, 0.12835840548777355, 0.26132634924437004, 0.35132282572723905, 0.40000639723353437, 0.23541635391528937, 0.7955362301517706, 0.21251183329855794, 0.6026589932914044, 0.906867683885168, 0.6340080449722291, 0.3388487383916209, 0.9380950017635297, 0.10035345978312249, 0.7337129378806315, 0.23091084557331443, 0.5702402405717931, 0.4254606948185773, 0.7872357630321967]",0.17567336780842763,0.037075282660485896,0.011192276068528857,0
0.04244415256778942,0.010876465660225224,"[0.6589665550803381, 0.40287033787667936, 0.05246916907421717, 0.8047774659774495, 0.27732689550968015, 0.7771009168373614, 0.9248119814111272, 0.7768463717633803, 0.9340769766498852, 0.6061764407119312, 0.6855804780292051, 0.882970904403885, 0.5753133811264822, 0.7561408054006846, 0.4255252359584747, 0.9979270253921945, 0.8267021256203616, 0.16236088891182832, 0.32267878205038625, 0.872392221577488, 0.9953666221019939, 0.3466841731875089, 0.8523256774412278, 0.7163210041392533, 0.010957606434410794, 0.9518528454771165, 0.7517813428810795, 0.8031912611016105, 0.8867578534891297, 0.4995320367445182, 0.5949006221776226, 0.42591527977579957, 0.713799899914024, 0.34494852223073535, 0.17411268928468426, 0.09475796153493399, 0.1141688425932732, 0.5571008662180768, 0.7425928599035909, 0.33348508648050224, 0.32064181550410586, 0.7072845060251618, 0.12046759426521625, 0.8178737140865381, 0.8932123129635043, 0.4760037399823669]",0.15079648624822162,0.04244415256778942,0.010876465660225224,0
0.033605919811778774,0.18460703414443289,"[0, np.float64(0.3189668524808368), np.float64(0.1331544642789682), np.float64(0.7682725927092043), np.float64(0.23571646428067483), np.float64(0.6277354088095045), np.float64(0.9648790176966247), np.float64(0.2799940488296109), np.float64(0.7000691618049859), np.float64(0.05665243437817813), np.float64(0.20638972464827077), np.float64(0.7127710004559165), np.float64(0.9234152333800727), np.float64(0.8422226340474279), np.float64(0.770176545955749), np.float64(0.1697961392126488), np.float64(0.8329045344090716), np.float64(0.08095238435429575), np.float64(0.4297685715947634), np.float64(0.11496857236695268), np.float64(0.3212627967067931), np.float64(0.48692351647791565), 1, np.float64(0.8675674563545539), np.float64(0.2886875063633515), np.float64(0.882826743879139), np.float64(0.7306672890138768), np.float64(0.4787756562634356), np.float64(0.8709245896444293), 1, np.float64(0.7996894807123966), 0, np.float64(0.24767094932003297), 0, np.float64(0.4788585833822193), 0, np.float64(0.7131226423590493), np.float64(0.7215323749299012), np.float64(0.30194659252212064), np.float64(0.5595171932969101), np.float64(0.018397784286674934), np.float64(0.11268828965380412), 0, np.float64(0.027921542575492397), np.float64(0.5236483425297395), np.float64(0.7083936443650827)]",0.18460703414443289,0.033605919811778774,0.012394764800965833,0
0.033431358739930535,0.18937433747937318,"[0, np.float64(0.28648041792888224), np.float64(0.04570535378064028), np.float64(0.7880490042766332), np.float64(0.2489422542747588), np.float64(0.6237710889347594), np.float64(0.9275402935554385), np.float64(0.2392877579725251), np.float64(0.7398682250361543), np.float64(0.03337221013936864), np.float64(0.1905363176294722), np.float64(0.6147800876343947), np.float64(0.9058689054035813), np.float64(0.8826736665702916), np.float64(0.6916295245065706), np.float64(0.1664507988791657), np.float64(0.8763391175208903), np.float64(0.06672071129060983), np.float64(0.3905054324234567), np.float64(0.09611682437791458), np.float64(0.2750827195841145), np.float64(0.4973345937325011), 1, np.float64(0.9578667010530972), np.float64(0.19085055043266924), np.float64(0.8771996731843757), np.float64(0.7772631710232748), np.float64(0.455517359266253), np.float64(0.8955954820726215), 1, np.float64(0.7791236626523914), 0, np.float64(0.21044292125003566), 0, np.float64(0.5086236093148212), 0, np.float64(0.80946120850603), np.float64(0.6755746455480076), np.float64(0.2654537727371316), np.float64(0.5698511169142766), np.float64(0.04015636944305567), np.float64(0.14235189485010652), np.float64(0.010476872952962957), 0, np.float64(0.6029255944852218), np.float64(0.7272430450332257)]",0.18937433747937318,0.033431358739930535,0.012510370159779408,0
