case,seed,member,xline_all_values,yline_all_values,X_all_values,area_per_wavelength_mm,inertia_per_wavelength_mm3,effective_Ez_MPa,radius_1_mm,radius_2_mm,feasible,constraint_violation,pareto_member_within_seed,cross_seed_pareto
C036,3,1,4.9573826203426385,0.7531833354985481,"[0.1, 0.1, 7.990007212528866, 4.508833297146054, 10.0, 0.0, 0.19896847738238926, 5.617572342144628, 2.2, 0.25]",0.8606439176537327,1.14267519883994,17.360853167195067,0.9166478381385286,0.9193321391473726,True,0.0,True,True
C036,3,20,4.959433857771914,0.7454523369841451,"[0.1, 0.1, 6.4034151011598315, 9.293957294252976, 10.0, 0.0, 0.2544194941506052, 6.674560112025767, 2.2, 0.25]",0.8359943109018814,1.1214591053319911,16.85664805453141,0.9700338043098149,1.4805052333402346,True,0.0,True,True
C036,3,4,5.089788881926962,0.7379330446071745,"[0.1, 0.10606072450523352, 5.388080415343963, 3.1801596163706254, 10.0, 0.0, 0.22777937248363755, 6.5915359821446335, 2.2, 0.25]",0.8445222584369954,1.1444429336899553,16.59248110340609,0.9615778688442246,1.4926960012290345,True,0.0,True,True
C036,29,0,5.123092794993359,0.27227710911788094,"[10.0, 0.11806644745789287, 4.066725679449817, 0.1, 0.1, 0.0, 0.0, 7.9, 4.0, 0.24698965536648826]",0.9184334337304418,3.373156989605068,17.927323796047546,1.6240526626839533,0.9034109922438625,True,0.0,True,True
C036,29,7,5.16996634033366,0.27179861057332694,"[10.0, 0.10147376135596559, 4.189937592058147, 0.1, 0.1, 0.015009184579464773, 0.0, 7.9, 4.0, 0.25]",0.9289265233120244,3.4177015156647195,17.967747992186602,1.5976636923733427,0.9125110992661587,True,0.0,True,True
C036,29,20,5.248439866390698,0.27162108056432394,"[10.0, 0.1, 4.3413397398888485, 0.1, 0.1, 0.021506149615176145, 0.0, 7.9, 4.0, 0.25]",0.9286660946085843,3.4189765119819637,17.694136129013497,1.597359437939417,0.9364422226766427,True,0.0,True,True
C036,3,15,5.268236937618922,0.2714246363420615,"[0.1, 0.10999495499763794, 4.316319881631119, 0.1, 10.0, 0.0, 0.0, 7.9, 4.0, 0.25]",0.9306047736987012,3.4285936097779692,17.66444419106376,0.9430582594719463,1.5904602861889596,True,0.0,True,True
C036,3,11,5.5290001232260995,0.2714048374671531,"[0.1, 0.11207257617608701, 4.679781619667139, 0.1, 10.0, 0.0, 0.0001117943448452896, 7.9, 4.0, 0.25]",0.9283200370672903,3.42042553747643,16.790016574020758,0.9915163170486742,1.5798825575827504,True,0.0,True,True
C036,29,27,5.575898952175542,0.27140477960251325,"[10.0, 0.1, 4.795898415828812, 0.1, 0.1, 0.0385536629619151, 0.0697849596204889, 7.9, 4.0, 0.25]",0.925380980616071,3.409597214799757,16.59608591463115,1.5600131156328845,0.982458507345663,True,0.0,True,True
C036,29,32,5.691901691472332,0.27137559954039153,"[10.0, 0.1, 4.973916079246038, 0.1, 0.1, 0.0769960435735184, 0.010039606322733602, 7.9, 4.0, 0.25]",0.9248550781518543,3.4080259231788412,16.248612999368593,1.5984460817167425,0.9793458027843692,True,0.0,True,True
C036,3,30,5.706152398874673,0.27122119697730174,"[0.1, 0.105872869404733, 5.011355538621995, 0.1, 10.0, 0.0, 0.0, 7.9, 4.0, 0.25]",0.9268113765917148,3.4171789923531635,16.242317270994967,1.03851731382171,1.5736249239523663,True,0.0,True,True
C036,3,35,5.713475803325282,0.2711317321621789,"[0.1, 0.1012537380207484, 5.094619144654123, 0.1, 10.0, 0.0, 0.03594411882217533, 7.9, 4.0, 0.25]",0.9268564659983887,3.4184728530557407,16.222287411437918,1.0271543609020977,1.585154677768549,True,0.0,True,True
C036,3,28,5.865997170776955,0.2710765098379877,"[0.1, 0.10232309619974046, 5.272899565505842, 0.1, 10.0, 0.0, 0.0, 7.9, 4.0, 0.25]",0.9252586035849302,3.413274739806569,15.773253492080684,1.071792527424854,1.5693990389214045,True,0.0,True,True
C036,3,37,5.920083287779243,0.2709599618486223,"[0.1, 0.1, 5.422548084145493, 0.1, 10.0, 0.0, 0.0, 7.9, 4.0, 0.25]",0.9250898929845548,3.414120251099594,15.626298618031385,1.0920029288676136,1.5676229302042777,True,0.0,True,True
C036,3,25,5.983787300301824,0.270892882838647,"[0.1, 0.10326612241766538, 5.512969303587331, 0.1, 10.0, 0.0, 0.0, 7.9, 4.0, 0.25]",0.924955542796103,3.414469708851812,15.457694205632077,1.1037185720809233,1.5666137275573948,True,0.0,True,True
C036,29,29,6.020163700469867,0.27086764825236187,"[10.0, 0.1, 5.407658677137796, 0.1, 0.1, 0.02676800265750197, 0.10999801266286185, 7.9, 4.0, 0.25]",0.9214076104531104,3.4016894095623176,15.305358064950884,1.5081464942584588,0.9990392809591196,True,0.0,True,True
C036,29,36,6.142220387162129,0.27078819182472813,"[10.0, 0.10062490473689627, 5.544794732386593, 0.1, 0.1, 0.045947000690026524, 0.0481843804044177, 7.9, 4.0, 0.25]",0.9207981113995876,3.4004367221285206,14.991290662968558,1.5626047002796646,1.102082869939519,True,0.0,True,True
C036,3,27,6.147251998313798,0.2707246279253612,"[0.1, 0.1, 5.771813181115965, 0.1, 10.0, 0.0, 0.0, 7.9, 4.0, 0.25]",0.9232901655432222,3.4104402418747557,15.0195594030712,1.1323254812626242,1.5597134962743047,True,0.0,True,True
C036,3,36,6.190333567706483,0.2706914530575485,"[0.1, 0.10272635867064954, 5.823426641619429, 0.1, 10.0, 0.0, 0.0, 7.9, 4.0, 0.25]",0.9232168419464174,3.41058733668308,14.913846432486658,1.1386942855308024,1.5595446435198617,True,0.0,True,True
C036,29,21,6.208249628150292,0.27057999319609755,"[10.0, 0.1, 5.5847288674519895, 0.1, 0.1, 0.003480729393023687, 0.14685492072558337, 7.9, 4.0, 0.25]",0.9189675977188893,3.3962880509531446,14.802362223838118,1.440052839151042,0.9428123579423683,True,0.0,True,True
C036,3,32,6.299843538973592,0.27056438533227045,"[0.1, 0.1, 5.918867589151581, 0.1, 10.0, 0.0, 0.0, 7.9, 4.0, 0.25]",0.9215481647428658,3.4060216891116153,14.62811193709439,1.1459644239011508,1.5564586257821282,True,0.0,True,True
C036,3,38,6.361919270242092,0.27044501252595143,"[0.1, 0.10166745224997496, 6.181160236343319, 0.1, 10.0, 0.0, 0.1374646908627987, 7.9, 4.0, 0.25]",0.9218046206227998,3.4084733603077444,14.489410843902801,1.0240569535630584,1.6325037969034457,True,0.0,True,True
C036,3,31,6.4142209605893745,0.27040690408775836,"[0.1, 0.1, 6.191159559679224, 0.1, 10.0, 0.0, 0.0, 7.9, 4.0, 0.25]",0.9213049521676552,3.407105877254721,14.36347387825256,1.1764423466707383,1.5519014639460735,True,0.0,True,True
C036,29,23,6.431518853194397,0.2702444881357445,"[10.0, 0.1, 5.900469581082804, 0.1, 0.1, 0.052601227384832916, 0.10189130371787128, 7.9, 4.0, 0.25]",0.9180521911053379,3.3971171713378223,14.274267277462167,1.5176962988786435,1.0854541066791354,True,0.0,True,True
C036,29,19,6.456707729728617,0.2700934339943503,"[10.0, 0.1003226831056058, 5.8748868493046675, 0.1, 0.1, 0.04874164924310987, 0.1764981891222916, 7.9, 4.0, 0.25]",0.9165440090927826,3.393433137334077,14.195222200824412,1.4056673914076734,0.9469015575381734,True,0.0,True,True
C036,29,14,6.602387762489559,0.2699187994225875,"[9.995754775641785, 0.1, 6.195077530344333, 0.1, 0.1, 0.03915972651441856, 0.19979627366252567, 7.9, 4.0, 0.25]",0.9156834669185001,3.3924405001701907,13.86897437501041,1.3347239127963506,0.9185859744344396,True,0.0,True,True
C036,29,9,6.720445819822261,0.2696692419260777,"[10.0, 0.1002422039159841, 6.251884170951763, 0.1, 0.1, 0.09371591597220331, 0.1327859806642677, 7.9, 4.0, 0.25]",0.915603295449711,3.3952826392440336,13.624145183182598,1.505344049166026,1.1185203325541488,True,0.0,True,True
