case,seed,member,d1,d2,d3,d4,d5,w1,w2,pitch_mm,height_mm,thickness_mm,surrogate_objective_1,surrogate_objective_2,surrogate_feasible,surrogate_violation,arc_length_mm,radius_1_mm,radius_2_mm,radius_min_mm,aspect_ratio_H_over_P,thickness_ratio_t_over_H,thickness_ratio_t_over_P,curvature_index_t_over_Rmin,core_material_fraction,board_material_fraction,geometry_feasible,trust_distance,predicted_potential_number,predicted_potential_std,predicted_stress_utilization,predicted_stress_upper
C037,83,1,0.1,10.0,10.0,10.0,9.377024230218801,0.0,0.0,7.9,4.0,0.15,0.1307692767598823,1697.8144636714335,True,0.0,11.748727637415211,0.9010079034003046,0.9010079034003046,0.9010079034003046,0.5063291139240506,0.0375,0.018987341772151896,0.1664802266816046,0.05576927675988233,0.1307692767598823,1.0,0.955330503638332,0.0005889925085439272,1.561654338571551e-05,0.4784664253375534,0.49552339576884313
C037,29,0,0.1,10.0,9.515720926462567,10.0,10.0,0.017773143968364404,0.015150698386301203,7.9,4.0,0.15,0.13078325115808892,1694.7440609143039,True,0.0,11.751671577304071,0.9019327840268613,0.9019327840268287,0.9019327840268287,0.5063291139240506,0.0375,0.018987341772151896,0.166309510704667,0.05578325115808894,0.13078325115808892,1.0,0.99974703015367,0.0005900595984154128,1.6315214782453025e-05,0.4747233531685395,0.4917803235998292
C037,3,31,0.1,10.0,9.949162664698088,10.0,10.0,0.30984396259394026,0.29801761684917044,7.9,4.0,0.15,0.1308249199714018,1593.4978357597763,True,0.0,11.760449807308646,0.9614330307843061,0.933813173801744,0.933813173801744,0.5063291139240506,0.0375,0.018987341772151896,0.1606317025806344,0.0558249199714018,0.1308249199714018,1.0,1.7633889613392304,0.0006275502718352938,3.213257014438585e-05,0.47456385050593575,0.4916208209372255
C037,3,29,0.1,10.0,9.556738012695215,6.162217635624042,10.0,0.1153397726474601,0.13330196816230938,7.9,4.0,0.15,0.1313370540366562,1583.142831378651,True,0.0,11.868339383722242,1.0292711644708237,1.1059366014047507,1.0292711644708237,0.5063291139240506,0.0375,0.018987341772151896,0.14573419053969036,0.05633705403665621,0.1313370540366562,1.0,0.8867313907895314,0.0006316549462117504,2.8481097749912884e-05,0.4834982858784101,0.5005552563096998
C037,47,28,0.1,10.0,10.0,10.0,10.0,0.0,0.0,7.6168136643011035,4.0,0.15,0.13191112533056126,1573.8409571251425,True,0.0,11.559504988495249,0.9025829713369663,0.9025829713369703,0.9025829713369663,0.5251539785917854,0.0375,0.01969327419719195,0.16618970749892384,0.05691112533056129,0.13191112533056126,1.0,0.981107944610637,0.0006353882172609427,1.9616797409670206e-05,0.47893727027544564,0.49599424070673537
C037,29,28,0.1,10.0,9.945474714031727,8.844018601693698,10.0,0.0,0.0032963996366693385,7.630361647038908,4.0,0.15,0.13198073643286368,1563.6810543682209,True,0.0,11.59423002392948,0.9470467910645619,0.9513137427405949,0.9470467910645619,0.5242215487325255,0.0375,0.019658308077469704,0.15838710548967397,0.05698073643286366,0.13198073643286368,1.0,1.0727533602278359,0.0006395166055164832,1.9166708992283315e-05,0.481062110833384,0.49811908126467375
C037,47,32,1.8939726944326554,10.0,10.0,2.3206577015446967,6.701910098723042,0.11863675770403553,0.0,7.9,4.0,0.15,0.1321503646329735,1516.5525465773596,True,0.0,12.03967681601309,1.0769723205813349,1.1155249755042402,1.0769723205813349,0.5063291139240506,0.0375,0.018987341772151896,0.13927934556296864,0.05715036463297352,0.1321503646329735,1.0,1.081674138187902,0.000659390274512318,3.550137054419541e-05,0.5017402900409476,0.5187972604722373
C037,47,34,0.1,10.0,10.0,9.071121456444828,10.0,0.07116141439167746,0.0661957001854009,7.516486850427084,4.0,0.15,0.13241885838041334,1478.1622144716587,True,0.0,11.509015839544315,0.9200596166142113,0.9195189283536808,0.9195189283536808,0.532163506648418,0.0375,0.019956131499315674,0.16312877894592342,0.057418858380413336,0.13241885838041334,1.0,1.0679349233315434,0.0006765157370481366,2.1768981481218055e-05,0.4820394424998889,0.4990964129311786
C037,11,12,0.31408333847288183,10.0,9.818928267092105,1.6464992034753863,7.939462575807978,0.0,0.0,7.9,4.0,0.15,0.13252067978413276,1466.150753537681,True,0.0,12.11768987452397,0.9244470970266793,1.1950856012586817,0.9244470970266793,0.5063291139240506,0.0375,0.018987341772151896,0.16225914980148512,0.057520679784132764,0.13252067978413276,1.0,0.8904734904815402,0.0006820581018610098,2.985512504573109e-05,0.5031204549982198,0.5201774254295095
C037,3,22,0.1,10.0,9.994670868257673,5.825033010569189,10.0,0.11470389368383495,0.027524061931848347,7.568067999792316,4.0,0.15,0.13267562649357822,1460.2863416140176,True,0.0,11.639815019573955,1.0944557125484538,1.032176517894708,1.032176517894708,0.5285364772237471,0.0375,0.019820117895890513,0.14532398034587088,0.057675626493578235,0.13267562649357822,1.0,1.111252406728704,0.0006847972014137482,2.5404542750280733e-05,0.48900866143778476,0.5060656318690745
C037,11,32,4.025239523260078,10.0,8.598104715549756,0.1,4.628632497659194,0.056844149172327156,0.018050201850219758,7.9,4.0,0.15,0.13319352489330297,1413.02719325969,True,0.0,12.259435910855823,0.9852932047536593,1.5257932792212876,0.9852932047536593,0.5063291139240506,0.0375,0.018987341772151896,0.1522389470223766,0.058193524893302956,0.13319352489330297,1.0,1.1800491595274933,0.000707700463777428,4.037394446535898e-05,0.5064018942275369,0.5234588646588266
C037,11,29,4.183172828296836,10.0,8.629462118277871,0.1,4.038168200979584,0.0,0.0,7.9,4.0,0.15,0.13323360497231007,1403.0858765391795,True,0.0,12.267879447499991,0.9221828760401692,1.4383920875572074,0.9221828760401692,0.5063291139240506,0.0375,0.018987341772151896,0.1626575421179976,0.05823360497231008,0.13323360497231007,1.0,1.1945122971139122,0.0007127147501951754,3.7784975991662546e-05,0.5062996826227701,0.5233566530540599
C037,83,15,0.1,10.0,10.0,0.1,10.0,0.09294291595376315,0.0,7.787501588219843,4.0,0.15,0.1336555505025649,1402.9068581559227,True,0.0,12.180805138576892,1.07880144820117,1.5594596513596544,1.07880144820117,0.5136435549561623,0.0375,0.019261633310856084,0.1390431948808699,0.0586555505025649,0.1336555505025649,1.0,0.8483021441556029,0.0007128056963913262,3.884028918985644e-05,0.514323063171944,0.5313800336032337
C037,29,15,10.0,10.0,10.0,2.156245256928033,0.1,0.0,0.10178642446857743,7.500167393292933,4.0,0.15,0.13414313303204983,1344.604722353193,True,0.0,11.828890610777774,0.9271558962996653,1.3253455010176274,0.9271558962996653,0.5333214300759505,0.0375,0.019999553627848138,0.16178508986315998,0.059143133032049856,0.13414313303204983,1.0,1.4727479216343498,0.0007437129911680659,5.066579287542149e-05,0.5010770390718599,0.5181340095031496
