case,seed,member,d1,d2,d3,d4,d5,w1,w2,pitch_mm,height_mm,thickness_mm,surrogate_objective_1,surrogate_objective_2,surrogate_feasible,surrogate_violation,arc_length_mm,radius_1_mm,radius_2_mm,radius_min_mm,aspect_ratio_H_over_P,thickness_ratio_t_over_H,thickness_ratio_t_over_P,curvature_index_t_over_Rmin,core_material_fraction,board_material_fraction,geometry_feasible,trust_distance,predicted_potential_number,predicted_potential_std,predicted_stress_utilization,predicted_stress_upper
C037,3,0,0.1,10.0,9.581669780083576,10.0,10.0,0.0,0.0,7.9,3.9998373921180224,0.15,0.1307937450012837,1705.4153013082841,True,0.0,11.752762160660977,0.911312403044942,0.9113124030449298,0.9113124030449298,0.5063085306478509,0.03750152451086791,0.018987341772151896,0.16459778172535708,0.055790695979547916,0.1307937450012837,1.0,1.0043538010578223,0.0005863674374405254,1.6279481030554955e-05,0.47490599963923835,0.4919629700705281
C037,3,1,4.48668226695274,0.1,10.0,0.14509313613896982,5.39234861379451,0.04802852614211886,0.06951371827762795,4.938131721541042,3.9974320289215353,0.21819361348816488,0.22621002429075512,330.8922462515009,True,0.0,10.588822361537321,0.9119310479304119,0.9461867536968859,0.9119310479304119,0.8095029161502515,0.05458344554942469,0.04418545834578775,0.2392654729580113,0.11704313319190572,0.22621002429075512,1.0,1.558540789824183,0.0030221318611374504,8.510483808603706e-05,0.6382944109748547,0.6553513814061445
C037,3,2,9.594098525458206,0.1,10.0,0.1,0.5913501603038014,0.0,0.0,5.293057568609903,4.0,0.1855450124839192,0.1879166726648817,539.1989130743673,True,0.0,10.856741303947999,1.0043623257971241,1.0043623257968934,1.0043623257968934,0.7557068760637919,0.0463862531209798,0.03505441043835996,0.18473912025394004,0.09514416642292212,0.1879166726648817,1.0,0.7114207928055045,0.0018546031450587849,2.2199133133647067e-05,0.6385204227416608,0.6555773931729505
C037,3,3,9.640779247737598,0.1,10.0,0.1,0.3004206814301194,0.015603742590775564,0.0,4.869176138177898,3.9933568432460103,0.15884415351273684,0.16562686143448946,562.5335236762842,True,0.0,10.536287315196438,0.9268506944192849,0.9088576485304096,0.9088576485304096,0.8201298802758799,0.039777099755407774,0.032622388060124304,0.17477341338281321,0.0860726619236739,0.16562686143448946,1.0,0.10900528275093216,0.001777671832719894,7.522160826831143e-06,0.6353967361611758,0.6524537065924655
C037,3,4,2.8060988819129378,7.539366604179487,10.0,2.472353087217671,7.133104375253145,0.02575594819187576,0.024207749250396104,7.184019208659093,4.0,0.15,0.13555953844660307,1290.8487094836066,True,0.0,11.601623665811342,1.082155872417046,1.3772141605216095,1.082155872417046,0.5567913842962295,0.0375,0.02087967691110861,0.1386121942534655,0.06055953844660307,0.13555953844660307,1.0,1.1233409316426437,0.0007746841226653446,2.9645757201123812e-05,0.5154608536746259,0.5325178241059156
C037,3,5,8.641639179018647,0.1,9.938671494244991,0.1,0.1,0.0,0.0,5.429648850904391,3.9835150840961076,0.19880456804520752,0.20027115476134655,500.5990036331028,True,0.0,10.929348769439018,0.9697169073845762,0.9697169073845401,0.9697169073845401,0.7336597989080993,0.049906819441683604,0.03661462711572841,0.20501299557765862,0.10045751587797931,0.20027115476134655,1.0,1.0651251035273082,0.001997606852475712,4.626662252578446e-05,0.6253386240785328,0.6423955945098225
C037,3,6,1.7497956112591146,5.81241035616516,10.0,10.0,10.0,0.04797469240343753,0.0793805091319686,7.305218002050086,4.0,0.15,0.13400004857601833,1428.5872800532923,True,0.0,11.493552452782897,0.928242475216306,0.9148388712762914,0.9148388712762914,0.5475538168576854,0.0375,0.020533268132163204,0.16396329966908277,0.05900004857601832,0.13400004857601833,1.0,0.588750293807005,0.0006999922328600713,9.241864141074325e-06,0.48491101793178953,0.5019679883630792
C037,3,7,0.1,0.8789272020653351,10.0,0.5428693541694267,10.0,0.01942095461480461,0.0,5.670231515224767,4.0,0.15,0.1478528088350443,799.6067294506424,True,0.0,11.015794470109695,1.075008904200995,1.0803604625980885,1.075008904200995,0.705438567942043,0.0375,0.02645394629782661,0.1395337279661773,0.0728528088350443,0.1478528088350443,1.0,1.7901968403839743,0.0012506147874556217,5.5745106920579015e-05,0.5783678299882349,0.5954248004195246
C037,3,8,0.1,4.433351337613519,9.99172037211302,1.4519343157343705,10.0,0.15429970884618147,0.05936142572301041,6.4152962377368725,3.9950871970179302,0.15,0.14072801297653884,1003.7192402372148,True,0.0,11.214822403286854,1.1975400843528172,1.1282398201451378,1.1282398201451378,0.6227439932574773,0.03754611416540924,0.02338161706666808,0.132950457271313,0.06563578464572037,0.14072801297653884,1.0,1.6846572448845836,0.0009962945412540505,4.1269053616920366e-05,0.5471682228930176,0.5642251933243073
C037,3,9,10.0,0.1,10.0,0.1,0.1277140975226841,0.04288763932646234,0.11714413200916467,5.48627013524999,4.0,0.15,0.15018283569536123,742.8817225593052,True,0.0,10.999289230903127,0.964007737150946,1.1360810329011737,0.964007737150946,0.7290927900723456,0.0375,0.02734097962771296,0.1556004108881055,0.07518283569536123,0.15018283569536123,1.0,0.6226424555822546,0.0013461093060075505,1.0344746216604965e-05,0.6281830191577014,0.6452399895889911
