design_id,split,d1,d2,d3,d4,d5,w1,w2,pitch_mm,height_mm,thickness_mm,arc_length_mm,radius_1_mm,radius_2_mm,radius_min_mm,aspect_ratio_H_over_P,thickness_ratio_t_over_H,thickness_ratio_t_over_P,curvature_index_t_over_Rmin,core_material_fraction,board_material_fraction,geometry_feasible
D000,test,0.6279124563273644,10.0,5.669894600811906,8.321548653554638,5.525153315130971,1.0,1.0,7.9,2.2,0.15,9.227687456155955,1.0191485953414865,1.019148595341263,1.019148595341263,0.27848101265822783,0.06818181818181818,0.018987341772151896,0.14718167761372652,0.07964057068028729,0.21600420704392365,1.0
D001,train,9.884838776206049,0.1,10.0,0.1,0.34781357580860317,0.0,0.0,4.86576429402609,4.0,0.15626015145824992,10.545860209214842,0.9071785051890289,0.9071785051886937,0.9071785051886937,0.822070235689586,0.03906503786456248,0.03211420488454348,0.1722485162120852,0.08466797886062,0.16279805458974497,1.0
D002,train,0.1,0.11031758842521328,9.810294924228543,10.0,10.0,0.01831558917119717,0.17398410305320075,7.9,2.2,0.25,9.681479499995156,2.507444838755351,0.9061452176693462,0.9061452176693462,0.27848101265822783,0.11363636363636363,0.03164556962025316,0.2758939683453976,0.13926178797461383,0.3665345152473411,1.0
D003,train,0.1,10.0,6.258829286082422,0.13192985137124502,6.520222395511445,0.1901488897935476,0.0,7.899453768874846,2.263247634293263,0.15,9.726212465119632,0.9498466127378732,1.7105307554495217,0.9498466127378732,0.2865068523105779,0.06627644174997227,0.01898865470812992,0.1579202346867716,0.08160295290697947,0.21415583640692398,1.0
D004,test,0.1,0.1,7.215915895667447,0.10840553444940591,7.168416411980394,0.5049118850449811,0.4874718475762521,7.133527072312738,3.9765204959224865,0.25,12.213091723336047,1.4439908437507685,1.2176920469427401,1.2176920469427401,0.5574410043744702,0.06286903343170225,0.035045777140220245,0.20530642425371431,0.10763613344077852,0.23337420030418304,1.0
D005,train,9.595033675461204,0.1,5.161748307126464,0.10536390121077766,0.10400677143121953,0.06004009487483722,0.07929479086140812,7.685345312107824,3.053242645853345,0.23693767130102628,11.235360005399038,0.9955196708215814,1.0289337209885894,0.9955196708215814,0.39728112685361516,0.07760197887410453,0.03082980161317468,0.23800400760086096,0.11344788482156137,0.2686518425697704,1.0
D006,train,0.1889337221413702,3.338217991783808,10.0,0.10229026637536032,9.630520147563674,1.0,0.9942502836069178,7.9,4.0,0.16948897281703376,12.534346804217893,1.3183034448575626,1.8065508880549541,1.3183034448575626,0.5063291139240506,0.04237224320425844,0.02145430035658655,0.1285659788557606,0.06722891027782786,0.15197339668634474,1.0
D007,train,0.1,5.215633883702463,9.821380452805055,9.774786655922787,8.982384443613258,0.027564131536560146,0.038956581982581,7.72516979938941,3.840950523910006,0.15,11.52301115032428,1.1113754997538514,1.0420271047714402,1.0420271047714402,0.4971994951118862,0.03905283316362617,0.019417048931643657,0.14395019027158723,0.05825195350810105,0.13635761983535338,1.0
D008,test,0.6311592020763087,0.1,10.0,0.1,3.7612107635744,0.006836782795561637,0.0,7.9,3.9457835014609133,0.23418703149396888,12.873422945416642,0.9214485213685959,0.913790133762394,0.913790133762394,0.49946626600771055,0.059351211592643616,0.02964392803721125,0.2562809805460898,0.09671560115886285,0.21541802434415008,1.0
D009,train,0.6483132485098069,3.4906919606010103,7.018179074746562,7.140048638984187,9.809847178470593,0.5349342621119983,0.48931723638115976,7.9,2.413128066774254,0.15,9.78224997215492,1.4869564506431163,0.9670587865026153,0.9670587865026153,0.3054592489587663,0.062159983162647606,0.018987341772151896,0.15510949498993495,0.07697018905847591,0.20129015538377112,1.0
D010,train,9.634586764559828,1.0963212872927468,7.640609643001589,10.0,0.1,0.0,0.0,7.878725458065563,2.2,0.15,9.617294835736114,2.0182101327177664,0.9356147362705927,0.9356147362705927,0.27923298149040454,0.06818181818181818,0.019038612374345763,0.16032240000612594,0.08322724930335326,0.2195908856669896,1.0
D011,train,0.1,0.1124614833623616,5.391267946613284,0.1,9.61421952482635,0.04414504917642894,0.024823936536963614,6.862944060701929,3.8785318201053762,0.25,11.885542435206094,0.9492264863845569,0.9229840979569174,0.9229840979569174,0.5651411093839933,0.06445738016227175,0.036427515332892055,0.2708605712204474,0.11163007018631242,0.24054483051085593,1.0
D012,test,0.10748115500219808,0.1,4.767622150986108,0.9371718146868162,9.817513248540502,0.489289140806762,0.5020373406954254,7.73774501913167,2.5121451088077933,0.24752830542328533,10.339709914219613,1.0539927863266856,0.9064622673649089,0.9064622673649089,0.3246611386904691,0.09853264628521265,0.031989721141142353,0.2730707215677621,0.13166613492051166,0.328731427490937,1.0
D013,train,0.3879872900298088,4.466559451377959,7.79441049456347,2.692222594170026,9.412597482155505,0.682518425309699,0.6442773341541,7.9,3.88274955055101,0.15,11.973444609864869,1.4849561214008211,1.1158947288488916,1.1158947288488916,0.4914872848798747,0.038632417066074516,0.018987341772151896,0.13442128197409217,0.05855229188428372,0.13581712601643275,1.0
D014,train,0.10064147361815257,10.0,7.034673166734111,9.888797118018996,7.034531507223571,0.07250756834812719,0.21706215382132046,7.9,2.321744565896214,0.15,9.378286744453543,0.9359037624191131,1.0804681890894698,0.9359037624191131,0.2938917172020524,0.06460659032148898,0.018987341772151896,0.16027288918283836,0.07669609235650136,0.20590927299947934,1.0
D015,train,9.43382736487971,0.10559588798682557,5.173994118046316,0.10010549666620903,0.10615202713658714,0.0,0.04171446713347611,7.637656582662695,3.7752784945524853,0.15,12.340931115600057,1.0104017784185877,1.0709106097016323,1.0104017784185877,0.4942980158498198,0.039732168160955955,0.019639531887371914,0.14845579570808934,0.06419926649501859,0.1436636028169305,1.0
D016,test,0.1,0.1,10.0,1.1749764835148737,9.641228269420028,0.04462201990158052,0.032753981238994215,7.9,2.328434304018882,0.15389175971973376,10.183473208770517,1.1498551885135184,0.9060697257471388,0.9060697257471388,0.294738519496061,0.06609237780688777,0.019479969584776425,0.16984538313851694,0.08519619730384567,0.21738095291762127,1.0
D017,train,9.129491835741012,6.482197581873014,9.81009963377587,0.10063132231600413,0.1010516830490019,0.029834269045312473,0.026982063711843016,7.9,2.4489984285186015,0.15,10.099369038739834,0.9368919562136068,2.785954438089497,0.9368919562136068,0.309999801078304,0.0612495288903615,0.018987341772151896,0.1601038401548628,0.07830146781173644,0.20080052559245942,1.0
D018,train,2.697649645193721,0.1033440582822358,9.128753729433546,4.934659849377289,9.980094937319265,0.9578987523150955,1.0,7.9,3.9436810309064474,0.25,12.328663849079595,1.1985882542775073,1.3400808663399708,1.1985882542775073,0.49920013049448697,0.06339255077699273,0.03164556962025316,0.20857871675932332,0.09892980367914592,0.22571490523313137,1.0
D019,train,0.1,7.282067016225084,8.624210422758395,0.1,9.75785068546977,0.0006150252006420464,0.0,7.9,3.985719848001371,0.1917196655168828,12.320025858746986,1.0227253812168708,1.713814714676587,1.0227253812168708,0.504521499747009,0.04810164106567102,0.02426831209074466,0.1874595752075388,0.07501436225028264,0.17121764438162468,1.0
D020,test,9.79950634014364,0.10322564925283662,9.916407083719665,0.1,0.1,0.0904491072133062,0.2527712082739443,7.9,4.0,0.2457124076381794,12.876409115826618,1.0523701052429542,1.7260327137262361,1.0523701052429542,0.5063291139240506,0.06142810190954485,0.031102836409896126,0.23348478488131635,0.10012321156911262,0.22297941538820235,1.0
D021,train,1.1665804872812702,0.10563857802487393,8.877102189144424,0.1024226233212541,9.956279973836056,0.22504568510242795,0.07056409252420025,7.888999833942273,3.9932691995032394,0.15,12.863284491716275,1.6390923770000423,1.0101070830844256,1.0101070830844256,0.5061819347900445,0.03756320761411725,0.019013817107034002,0.148499107185711,0.0612480968605036,0.1363745120887381,1.0
D022,train,0.10650395637098312,0.1,5.579498218408838,10.0,8.945755941943109,0.009793759138683623,0.21954124153741536,7.858881432453969,2.297708700366132,0.19388863009318627,9.729434679627488,1.0816911823877868,0.9158168436381274,0.9158168436381274,0.29237095890994536,0.08438346865392066,0.0246712756464941,0.21171114228796464,0.10446823168985679,0.2732351689976981,1.0
D023,train,6.016844175739362,0.10302619685828861,10.0,0.1,0.1,0.003564961603461203,0.0,6.495178189637285,3.8833026629297573,0.15,11.594495481314985,0.943836259928668,0.940233769807041,0.940233769807041,0.5978746925104168,0.03862691451580869,0.02309405463876528,0.15953479317253588,0.06895262496804483,0.1462064539996622,1.0
D024,test,1.7077440481106312,8.686909501211597,7.962472263623619,5.573273138157174,6.289068977271248,0.7872045303718666,0.8022366920171035,7.9,2.6934086114956237,0.15,9.975135027184798,1.3531461484964606,1.589099076887855,1.3531461484964606,0.3409377989234967,0.05569151273957888,0.018987341772151896,0.11085277090480691,0.07032029866398502,0.1817033241431428,1.0
D025,train,0.1,3.057345169743353,3.6686097543489193,2.0852344571915404,8.09069491669518,0.1969603759343993,0.0,7.9,2.2732754450816235,0.15,9.666946117858048,1.1793221023360945,0.9460994160425867,0.9460994160425867,0.28775638545337007,0.06598408491348225,0.018987341772151896,0.15854570614516483,0.08074235360693709,0.2127105234339016,1.0
D026,train,0.2889242006308545,0.10297431329482598,9.53075724125378,3.9911848197794444,5.506557500645446,0.020648734380797965,0.02487563416027695,7.9,3.9510172913532147,0.23927699786792248,12.381101245043237,1.333915482652026,0.9067439762550498,0.9067439762550498,0.500128771057369,0.060560858184948774,0.030288227578218033,0.26388595252230096,0.09491267299677926,0.21603438936667682,1.0
D027,train,6.134083721143505,3.7082603963942145,5.025693498328904,3.4852859505171323,0.1,0.0,0.0,7.9,3.0623170455838746,0.15,10.568031718272326,1.4128352786583156,1.438436048742232,1.4128352786583156,0.38763506906124995,0.04898251806301798,0.018987341772151896,0.10616948929987503,0.06552516513048369,0.16349020125651964,1.0
D028,test,7.835482387570096,1.0228640071807436,8.851456748960214,2.3645405015164846,10.0,0.03880163709899424,0.0,7.9,2.2473732506021,0.15,9.9924768757295,1.0843848206303648,0.9241731482234162,0.9241731482234162,0.2844776266584937,0.06674458724638334,0.018987341772151896,0.16230724760652526,0.0844232588151387,0.21791243330790536,1.0
D029,train,0.1,0.1,8.046503125414295,1.5937911155217175,10.0,0.7513384165688883,0.7033518654465928,7.9,3.95707938477383,0.2129728066638594,12.649012033014342,1.9852423566147335,0.9247442126371584,0.9247442126371584,0.5008961246549152,0.053820706120615784,0.026958583122007516,0.23030455746947556,0.08617452649936679,0.19381593874059835,1.0
D030,train,0.1,0.10732263211812246,9.973974713498015,9.230708928171534,9.773608897053915,0.02482925821219395,0.0,7.8370006320654655,2.7247985422105816,0.15,10.389653503004473,2.5449757930490966,0.9536367220273599,0.9536367220273599,0.34768384872420927,0.055049941372292285,0.019139975488360658,0.15729260056293898,0.07298070308667161,0.18308058583125617,1.0
D031,train,2.5142784405033494,10.0,6.357147989915217,2.4879840998470506,5.437655039552828,1.0,1.0,7.9,2.784435869528017,0.15,10.22850906294373,1.0000696316425772,1.2610425864272932,1.0000696316425772,0.3524602366491161,0.05387087619490627,0.018987341772151896,0.14998955598084762,0.06974920827700233,0.17749096066681488,1.0
D032,test,0.15774365444090732,0.10514395819454302,10.0,0.1,9.035648037004448,1.0,1.0,7.866404255751125,3.9615041515031657,0.2463333749526157,12.784667572936815,1.3766937636325114,1.3777780944248101,1.3766937636325114,0.5035978348820442,0.0621817788223562,0.03131460918405273,0.17893113302311062,0.10105930810211053,0.22542286574682296,1.0
D033,train,0.24083998161729578,3.363682571518929,10.0,0.1,5.948284419248143,0.0,0.042862014332392784,7.9,4.0,0.19768246693400882,12.522443630570148,0.9323435971280599,1.418572180160219,0.9323435971280599,0.5063291139240506,0.049420616733502204,0.02502309708025428,0.21202748379775335,0.07833758066244217,0.17717881412944658,1.0
D034,train,0.5469423574672574,10.0,7.867677723318696,5.285322266425222,6.243432905889311,0.5399648497399532,0.5966390209500724,7.9,2.2739607301242692,0.15637120622328216,9.460141386578472,0.9330889328039539,1.2525407870644962,0.9330889328039539,0.2878431303954771,0.06876600996303778,0.01979382357256736,0.16758446137967048,0.08234635149888624,0.21987837142496178,1.0
D035,train,0.1,7.264934885350417,9.358968173625874,3.609759374491433,6.869289211912336,0.0,0.0,7.9,2.5538565761935037,0.15,9.903614679745957,1.3080308044368325,1.595628450501669,1.3080308044368325,0.3232729843282916,0.05873470006039783,0.018987341772151896,0.1146761983671951,0.07363111869982679,0.19110051882062246,1.0
D036,test,0.1,0.2080283648767125,9.625798251157763,0.1,9.515070281527665,0.27110356208526604,0.05538976796880475,7.866500043485275,4.0,0.25,12.829499482462344,1.753133088736677,0.9615472634361306,0.9615472634361306,0.5084853464550149,0.0625,0.03178033415343843,0.25999761998865684,0.10193144514350468,0.2269314451435047,1.0
D037,train,9.888474962601922,0.1,10.0,0.1,10.0,0.0,0.010876892997292392,7.84722300522856,2.5528561154644636,0.232814067294937,10.642235490970473,0.9217553531826038,0.9172183957317503,0.9172183957317503,0.32531968490808916,0.09119748891628351,0.029668338358654303,0.25382620799836836,0.12368007798243914,0.3060750558150061,1.0
D038,train,0.10036388558395598,0.10163122919677135,7.67153195561507,6.3914541306663715,9.77549375401264,0.0,0.0,7.897398631647536,2.5988313527452283,0.24497590992940668,10.29483124385249,2.351315785042082,0.9223886316714961,0.9223886316714961,0.3290743539690191,0.09426387351785287,0.03101982328050476,0.2655886049738887,0.12287978808228177,0.3114075351179875,1.0
D039,train,9.570756647498708,9.550785775758555,7.095988280791439,10.0,0.10126312411813626,0.06305256073207219,0.0,7.893463047340555,2.2,0.15,9.277834174633366,1.0887959860551346,1.0684696667059854,1.0684696667059854,0.2787116360468956,0.06818181818181818,0.019003066094106517,0.14038770090913216,0.08013968001396272,0.21650331637759906,1.0
