case,seed,generation,evaluations,hypervolume,normalized_hypervolume,reference_objective_1,reference_objective_2
C037,3,52,1872,1051.250805431234,0.6217934767890447,0.423942885276629,3987.9786881590203
C037,3,53,1908,1052.1676475742597,0.6223357702748935,0.423942885276629,3987.9786881590203
C037,3,54,1944,1052.1676475742597,0.6223357702748935,0.423942885276629,3987.9786881590203
C037,3,55,1980,1052.2534497859806,0.6223865205385475,0.423942885276629,3987.9786881590203
C037,3,56,2016,1052.3869414237367,0.6224654781280531,0.423942885276629,3987.9786881590203
C037,11,1,36,1014.0523035160802,0.5997913192471255,0.423942885276629,3987.9786881590203
C037,11,2,72,1014.4528850723655,0.6000282550928183,0.423942885276629,3987.9786881590203
C037,11,3,108,1023.3991051026594,0.6053197623411523,0.423942885276629,3987.9786881590203
C037,11,4,144,1025.6185868078517,0.6066325406420213,0.423942885276629,3987.9786881590203
C037,11,5,180,1026.296401268377,0.6070334541137166,0.423942885276629,3987.9786881590203
C037,11,6,216,1027.4663617374176,0.6077254619428589,0.423942885276629,3987.9786881590203
C037,11,7,252,1034.9476520149838,0.6121504930282312,0.423942885276629,3987.9786881590203
C037,11,8,288,1036.540836307511,0.6130928291437406,0.423942885276629,3987.9786881590203
C037,11,9,324,1036.5325610410691,0.6130879344918976,0.423942885276629,3987.9786881590203
C037,11,10,360,1038.9110147114748,0.6144947414778827,0.423942885276629,3987.9786881590203
C037,11,11,396,1042.4075799266207,0.6165628887085081,0.423942885276629,3987.9786881590203
C037,11,12,432,1042.465917925486,0.6165973944486759,0.423942885276629,3987.9786881590203
C037,11,13,468,1042.8257674341448,0.6168102381163847,0.423942885276629,3987.9786881590203
C037,11,14,504,1042.8257674341448,0.6168102381163847,0.423942885276629,3987.9786881590203
C037,11,15,540,1042.943821229582,0.6168800645360495,0.423942885276629,3987.9786881590203
C037,11,16,576,1043.445469877462,0.6171767795114677,0.423942885276629,3987.9786881590203
C037,11,17,612,1043.455333785787,0.6171826138126832,0.423942885276629,3987.9786881590203
C037,11,18,648,1043.455333785787,0.6171826138126832,0.423942885276629,3987.9786881590203
C037,11,19,684,1043.520048103338,0.6172208910157068,0.423942885276629,3987.9786881590203
C037,11,20,720,1044.9288717612783,0.6180541815643823,0.423942885276629,3987.9786881590203
C037,11,21,756,1044.9509093942722,0.6180672163762166,0.423942885276629,3987.9786881590203
C037,11,22,792,1044.9509093942722,0.6180672163762166,0.423942885276629,3987.9786881590203
C037,11,23,828,1045.4473206619643,0.618360833547743,0.423942885276629,3987.9786881590203
C037,11,24,864,1045.490865179268,0.6183865892443564,0.423942885276629,3987.9786881590203
C037,11,25,900,1045.4953616760297,0.6183892488307656,0.423942885276629,3987.9786881590203
C037,11,26,936,1045.5156162283117,0.6184012289866135,0.423942885276629,3987.9786881590203
C037,11,27,972,1045.4946043168727,0.6183888008682233,0.423942885276629,3987.9786881590203
C037,11,28,1008,1045.4946043168727,0.6183888008682233,0.423942885276629,3987.9786881590203
C037,11,29,1044,1045.4977156113284,0.6183906411356334,0.423942885276629,3987.9786881590203
C037,11,30,1080,1045.4977156113284,0.6183906411356334,0.423942885276629,3987.9786881590203
C037,11,31,1116,1045.4977156113284,0.6183906411356334,0.423942885276629,3987.9786881590203
C037,11,32,1152,1045.537556456345,0.6184142061853942,0.423942885276629,3987.9786881590203
C037,11,33,1188,1045.537556456345,0.6184142061853942,0.423942885276629,3987.9786881590203
C037,11,34,1224,1045.537556456345,0.6184142061853942,0.423942885276629,3987.9786881590203
C037,11,35,1260,1045.537556456345,0.6184142061853942,0.423942885276629,3987.9786881590203
C037,11,36,1296,1045.537556456345,0.6184142061853942,0.423942885276629,3987.9786881590203
C037,11,37,1332,1045.537556456345,0.6184142061853942,0.423942885276629,3987.9786881590203
C037,11,38,1368,1045.571721761588,0.6184344142687771,0.423942885276629,3987.9786881590203
C037,11,39,1404,1045.571721761588,0.6184344142687771,0.423942885276629,3987.9786881590203
C037,11,40,1440,1045.810389157635,0.618575581180819,0.423942885276629,3987.9786881590203
C037,11,41,1476,1049.7087865319957,0.620881403963342,0.423942885276629,3987.9786881590203
C037,11,42,1512,1050.1398338013648,0.621136359658878,0.423942885276629,3987.9786881590203
C037,11,43,1548,1050.707014037189,0.62147183523614,0.423942885276629,3987.9786881590203
C037,11,44,1584,1050.707014037189,0.62147183523614,0.423942885276629,3987.9786881590203
C037,11,45,1620,1050.717950871463,0.6214783041512392,0.423942885276629,3987.9786881590203
C037,11,46,1656,1050.742669104785,0.621492924483664,0.423942885276629,3987.9786881590203
C037,11,47,1692,1050.7508599692146,0.6214977692134329,0.423942885276629,3987.9786881590203
C037,11,48,1728,1050.7610740385462,0.6215038106277644,0.423942885276629,3987.9786881590203
C037,11,49,1764,1050.7615559700705,0.621504095680462,0.423942885276629,3987.9786881590203
C037,11,50,1800,1050.7607276331044,0.6215036057359888,0.423942885276629,3987.9786881590203
C037,11,51,1836,1050.7607276331044,0.6215036057359888,0.423942885276629,3987.9786881590203
C037,11,52,1872,1050.7607276331044,0.6215036057359888,0.423942885276629,3987.9786881590203
C037,11,53,1908,1050.7607276331044,0.6215036057359888,0.423942885276629,3987.9786881590203
C037,11,54,1944,1050.7607276331044,0.6215036057359888,0.423942885276629,3987.9786881590203
C037,11,55,1980,1050.7607276331044,0.6215036057359888,0.423942885276629,3987.9786881590203
C037,11,56,2016,1050.7607276331044,0.6215036057359888,0.423942885276629,3987.9786881590203
C037,29,1,36,1014.0523035160802,0.5997913192471255,0.423942885276629,3987.9786881590203
C037,29,2,72,1014.9011691096279,0.6002934059860955,0.423942885276629,3987.9786881590203
C037,29,3,108,1017.2764376756853,0.6016983290476201,0.423942885276629,3987.9786881590203
C037,29,4,144,1017.472590584553,0.6018143495049239,0.423942885276629,3987.9786881590203
C037,29,5,180,1024.3265221666873,0.6058683106777586,0.423942885276629,3987.9786881590203
C037,29,6,216,1025.494484402097,0.6065591365923374,0.423942885276629,3987.9786881590203
C037,29,7,252,1029.1666427023347,0.608731143562537,0.423942885276629,3987.9786881590203
C037,29,8,288,1029.1705567861652,0.6087334586635393,0.423942885276629,3987.9786881590203
C037,29,9,324,1038.2376116391988,0.6140964372526422,0.423942885276629,3987.9786881590203
C037,29,10,360,1038.965004097824,0.6145266751021657,0.423942885276629,3987.9786881590203
C037,29,11,396,1040.5525814855798,0.6154656948475056,0.423942885276629,3987.9786881590203
C037,29,12,432,1040.5598757194384,0.6154700092385225,0.423942885276629,3987.9786881590203
C037,29,13,468,1040.608463552348,0.6154987479537734,0.423942885276629,3987.9786881590203
C037,29,14,504,1040.608463552348,0.6154987479537734,0.423942885276629,3987.9786881590203
