selection_id,case,selection_role,target_reaction_N_relative_change_24_to_32,target_reaction_N_relative_change_32_to_40,stored_potential_number_relative_change_24_to_32,stored_potential_number_relative_change_32_to_40,stress_pnorm_utilization_relative_change_24_to_32,stress_pnorm_utilization_relative_change_32_to_40,stress_q99_utilization_relative_change_24_to_32,stress_q99_utilization_relative_change_32_to_40,stress_max_utilization_relative_change_24_to_32,stress_max_utilization_relative_change_32_to_40
S1,C037,objective_1_extreme,0.0026845097865564535,,0.003709729389273995,,0.0011574393029396067,,0.019264426764195933,,0.019282014940454343,
S2,C037,compromise,0.006152296259262133,0.0026256265999017544,0.0047300023053424645,0.0022036616354291537,0.00013085903900798395,8.451995336237796e-05,0.018141697414269062,0.011042280282284121,0.018092483546013335,0.01104082394311525
S3,C037,objective_2_extreme,0.007683781295185007,,0.005906468799165433,,0.002134163531595632,,0.014963900213427379,,0.014968514466831279,
S4,C038,objective_1_extreme,0.003877400986746002,,0.0037063050678316297,,0.0008956227302492401,,0.019107615352604735,,0.01920794067583547,
S5,C038,compromise,0.004707151238708456,0.0006169026123911932,0.0034520004501907,0.0016231230600503319,0.001051785046313729,0.0007140835697297476,0.01855669110388333,0.01203659907310144,0.01857997524463967,0.012049130845895754
S6,C038,objective_2_extreme,0.004181969926788449,,0.0033167917415645306,,0.001293367692092929,,0.015269968866193171,,0.015953080656514303,
S7,C039,objective_1_extreme,0.005000485615334084,,0.0051649399829520335,,0.0011474971402348638,,0.016185239924028705,,0.01612492734729928,
S8,C039,compromise,0.00955233213740593,0.009185396704456882,0.003633666398540665,0.000803822891111034,0.0019095180810532908,0.0009824738139430484,0.022473859072882022,0.011348054658679463,0.022523800199498054,0.011274340048582512
S9,C039,objective_2_extreme,0.0034969359208355285,,0.003082826961146897,,0.0014266405239269574,,0.019571798734154933,,0.019558784158544732,
