d1,d2,d3,d4,d5,w1,w2,pitch_mm,height_mm,thickness_mm
1.000000000000000056e-01,1.000000000000000056e-01,7.641411825777177924e+00,8.555109747699738421e+00,9.562040553080064953e+00,8.015147477717517177e-02,1.835652643965569597e-01,7.900000000000000355e+00,2.261418700185588992e+00,2.207205106894185864e-01
1.000000000000000056e-01,1.000000000000000000e+01,6.203245699487428766e+00,6.722033798934756277e+00,1.000000000000000000e+01,3.285388106139980335e-02,7.989918299717457817e-02,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000056e-01,3.057345169743352908e+00,3.668609754348919338e+00,2.085234457191540436e+00,8.090694916695179373e+00,1.969603759343993010e-01,0.000000000000000000e+00,7.900000000000000355e+00,2.273275445081623491e+00,1.499999999999999944e-01
1.000000000000000056e-01,1.000000000000000056e-01,9.589227019108687244e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.072194663171773324e-02,2.019529778395443287e-01,7.900000000000000355e+00,2.208060928260702660e+00,1.499999999999999944e-01
1.000000000000000056e-01,1.000000000000000000e+01,7.101158821190920456e+00,1.000000000000000000e+01,6.819131808169512254e+00,5.532360974332221903e-02,1.625543071183430111e-01,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000056e-01,1.000000000000000056e-01,8.265016191167475768e+00,8.587356298996974502e+00,1.000000000000000000e+01,1.378775279083248873e-01,2.433718473047542519e-01,7.895823389855654462e+00,2.262239305083235674e+00,2.232290618073557720e-01
1.000000000000000056e-01,1.000000000000000000e+01,6.918366325267295558e+00,1.000000000000000000e+01,6.444583327244291837e+00,5.853889202072340425e-02,2.004238272132073950e-01,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000056e-01,1.000000000000000000e+01,7.002012550253852829e+00,1.000000000000000000e+01,6.245272915164468586e+00,4.712551355101287504e-02,2.249875173401723327e-02,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000056e-01,1.000000000000000000e+01,6.258829286082422172e+00,1.319298513712450216e-01,6.520222395511445335e+00,1.901488897935476041e-01,0.000000000000000000e+00,7.899453768874845849e+00,2.263247634293263033e+00,1.499999999999999944e-01
1.000000000000000056e-01,1.000000000000000000e+01,5.980633042921825293e+00,9.161889615785542063e+00,7.816090077019969939e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.899911357465944306e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,2.003874995420452942e-01,7.898944877825102573e+00,2.243507531876379524e+00,2.500000000000000000e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.651854207534690339e-02,7.900000000000000355e+00,2.744250422573932369e+00,2.500000000000000000e-01
9.018486971601900493e+00,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,4.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.046851920289053911e-02,7.900000000000000355e+00,2.672964156822994042e+00,2.316108388468309798e-01
1.004488838688598479e-01,1.000000000000000056e-01,9.357775291375599380e+00,9.671852042606225552e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,2.760516026686528512e+00,1.508617644079234543e-01
1.000000000000000056e-01,1.000000000000000056e-01,9.445079395833099412e+00,2.089928942896379205e+00,1.000000000000000000e+01,6.319285766716520314e-02,0.000000000000000000e+00,7.900000000000000355e+00,2.352984967639657921e+00,1.499999999999999944e-01
1.000000000000000000e+01,8.139038323020232113e+00,8.338044293375643790e+00,9.501344049778472467e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.436574318937687833e-02,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,8.047104754312434105e-02,7.900000000000000355e+00,4.000000000000000000e+00,1.951828415055026911e-01
2.934750223409658965e+00,8.062390701409986704e+00,6.054041172588728870e+00,5.910702187949858910e+00,1.000000000000000000e+01,7.007722185574868923e-02,9.474549272507216957e-03,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,4.082945218970812640e-02,6.601574421784787983e-02,7.900000000000000355e+00,4.000000000000000000e+00,1.582638516973571829e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,3.259328557714108676e+00,1.936361749935812115e-01
1.000000000000000000e+01,4.541542784478282080e+00,8.561481924594957604e+00,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+01,7.605758355833977524e-03,3.611461976259817963e-02,7.900000000000000355e+00,2.585585202848180941e+00,1.910203971971924375e-01
